,commune,codepostal,carburants,latitude,longitude,nombre,liste_complete_carburants,departement
8701,Moréac,56500,"['E10', 'Gazole', 'SP95']",47.90027,-2.83932,3,"['E10', 'SP98', 'GPLc', 'E85', 'Gazole', 'SP95']",56
8702,Carentoir,56910,"['E10', 'Gazole', 'SP95']",47.81382,-2.13114,3,"['E10', 'SP98', 'GPLc', 'E85', 'Gazole', 'SP95']",56
8703,Montoy-Flanville,57645,"['Gazole', 'SP95']",49.11688,6.27859,2,"['E10', 'SP98', 'GPLc', 'E85', 'Gazole', 'SP95']",57
8704,RIANTEC,56670,"['E10', 'Gazole', 'SP98']",47.7255058078,-3.32222841575,3,"['E10', 'SP98', 'GPLc', 'E85', 'Gazole', 'SP95']",56
8705,METZ,57050,"['Gazole', 'SP98', 'SP95']",49.1477067662,6.13840838002,3,"['E10', 'SP98', 'GPLc', 'E85', 'Gazole', 'SP95']",57
8706,PLOëRMEL,56800,"['E10', 'Gazole', 'SP98', 'SP95']",47.93709,-2.40195,4,"['E10', 'SP98', 'GPLc', 'E85', 'Gazole', 'SP95']",56
8707,Kervignac,56700,"['Gazole', 'SP98', 'SP95']",47.7581470463,-3.23758966646,3,"['E10', 'SP98', 'GPLc', 'E85', 'Gazole', 'SP95']",56
8708,Locminé,56500,"['Gazole', 'SP98', 'SP95']",47.87553,-2.82825,3,"['E10', 'SP98', 'GPLc', 'E85', 'Gazole', 'SP95']",56
8709,Metz,57000,"['Gazole', 'SP98', 'SP95']",49.07468,6.18439,3,"['E10', 'SP98', 'GPLc', 'E85', 'Gazole', 'SP95']",57
8710,METZ,57070,"['E10', 'Gazole', 'SP98']",49.1101828914,6.20933785587,3,"['E10', 'SP98', 'GPLc', 'E85', 'Gazole', 'SP95']",57
8711,Ploërmel,56800,"['E10', 'Gazole', 'SP98']",47.91971,-2.36115,3,"['E10', 'SP98', 'GPLc', 'E85', 'Gazole', 'SP95']",56
8712,Belz,56550,"['E10', 'Gazole', 'SP98']",47.67582,-3.19691,3,"['E10', 'SP98', 'GPLc', 'E85', 'Gazole', 'SP95']",56
8713,Saint-Jean-Brévelay,56660,"['E10', 'Gazole', 'SP98']",47.84648,-2.7241,3,"['E10', 'SP98', 'GPLc', 'E85', 'Gazole', 'SP95']",56
8714,ARZON,56640,"['E10', 'Gazole', 'SP98', 'SP95']",47.54488,-2.89724,4,"['E10', 'SP98', 'GPLc', 'E85', 'Gazole', 'SP95']",56
8715,SAINT-GILDAS-DE-RHUYS,56730,"['Gazole', 'SP98', 'SP95']",47.503560367,-2.825262162,3,"['E10', 'SP98', 'GPLc', 'E85', 'Gazole', 'SP95']",56
8717,PLOUHINEC,56680,"['Gazole', 'SP98', 'SP95']",47.6958268018,-3.24501669049,3,"['E10', 'SP98', 'GPLc', 'E85', 'Gazole', 'SP95']",56
8718,PLESCOP,56890,"['Gazole', 'SP98', 'SP95']",47.69753,-2.80424,3,"['E10', 'SP98', 'GPLc', 'E85', 'Gazole', 'SP95']",56
8720,SAINT-JULIEN-LES-METZ,57070,"['E10', 'Gazole', 'SP98']",49.12869,6.19585,3,"['E10', 'SP98', 'GPLc', 'E85', 'Gazole', 'SP95']",57
8722,YUTZ,57970,"['Gazole', 'SP98', 'SP95']",49.34834,6.19263,3,"['E10', 'SP98', 'GPLc', 'E85', 'Gazole', 'SP95']",57
8723,QUéVEN,56530,"['E10', 'Gazole', 'SP98']",47.7896694843,-3.42091996427,3,"['E10', 'SP98', 'GPLc', 'E85', 'Gazole', 'SP95']",56
8724,METZ,57000,"['Gazole', 'SP98', 'SP95']",49.10449,6.17949,3,"['E10', 'SP98', 'GPLc', 'E85', 'Gazole', 'SP95']",57
8725,ARS-SUR-MOSELLE,57130,"['Gazole', 'SP98', 'SP95']",49.08457,6.08798,3,"['E10', 'SP98', 'GPLc', 'E85', 'Gazole', 'SP95']",57
8726,MOREAC,56500,"['Gazole', 'SP98', 'SP95']",47.89078,-2.83467,3,"['E10', 'SP98', 'GPLc', 'E85', 'Gazole', 'SP95']",56
8727,METZ,57070,"['Gazole', 'SP98', 'GPLc', 'SP95']",49.12009,6.21832,4,"['E10', 'SP98', 'GPLc', 'E85', 'Gazole', 'SP95']",57
8728,THEIX,56450,"['Gazole', 'SP98', 'SP95']",47.6291011247,-2.65522434186,3,"['E10', 'SP98', 'GPLc', 'E85', 'Gazole', 'SP95']",56
8729,Metz,57000,"['E10', 'Gazole', 'SP98']",49.10988,6.17059,3,"['E10', 'SP98', 'GPLc', 'E85', 'Gazole', 'SP95']",57
8730,METZ,57050,"['E10', 'Gazole', 'SP98']",49.1298433927,6.16646092516,3,"['E10', 'SP98', 'GPLc', 'E85', 'Gazole', 'SP95']",57
8731,THEIX,56450,"['E10', 'Gazole', 'SP98']",47.6363045869,-2.66510508837,3,"['E10', 'SP98', 'GPLc', 'E85', 'Gazole', 'SP95']",56
8732,Kervignac,56700,"['Gazole', 'SP98', 'SP95']",47.75909,-3.23206,3,"['E10', 'SP98', 'GPLc', 'E85', 'Gazole', 'SP95']",56
